id,name,artist,album,duration,uri
"2cGxRwrMyEAp8dEbuZaVv6","Instant Crush (feat. Julian Casablancas)","Daft Punk, Julian Casablancas","Random Access Memories","?",""
"4Toog7yLWuisCXhhat3MjZ","I like to pump it","prodkaz","!K","?",""
"0taVgQt7rClir9tpWPRMPw","Last Friday Night - Hardstyle","HARDEST","Last Friday Night (Hardstyle)","?",""
"7kmRuSCiqjBaKGhLk6EqdY","LOVE YOU LIKE A LOVE SONG (HARDSTYLE)","SICK LEGEND","LOVE YOU LIKE A LOVE SONG (HARDSTYLE)","?",""
"5rTQF3h6REk6ibLOpwQRk4","Starships - Hardstyle","puremind","Starships (Hardstyle)","?",""
"2EBCVPNAG46nbgs6jXPGvv","Starships","Nicki Minaj","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)","?",""
"0laYHRpNTS6i8FXdupHkJ4","Love You Like A Love Song","Selena Gomez & The Scene","When The Sun Goes Down","?",""
"455AfCsOhhLPRc68sE01D8","Last Friday Night (T.G.I.F.)","Katy Perry","Teenage Dream: The Complete Confection","?",""
"2VOomzT6VavJOGBeySqaMc","Disturbia","Rihanna","Good Girl Gone Bad: Reloaded","?",""
"4Dvkj6JhhA12EX05fT7y2e","As It Was","Harry Styles","Harry's House","?",""
"0l0CvurVUrr2w3Jj1hOVFc","NO","Meghan Trainor","Thank You (Deluxe Version)","?",""
"1qwQ1P3FwFouG1zTIBkGXU","Anlamazdın","Ayla Dikmen","Klasikler (Orijinal Kayıtlar)","?",""
"3GbduPQThq9KIJ9Ql3JEaR","VEM NO PIQUE","MGD, Hwungii, Itamar Mc","VEM NO PIQUE","?",""
"7hCUHXMZknrymWCyeMx8B6","MONTAGEM RUGADA","cape, JXNDRO, Sayfalse","MONTAGEM RUGADA","?",""
"4oFXV9F1OhUZy9cEGqrGHe","HOMAGE FUNK","KIXIA, KREZUS, Mc Kaique SP","HOMAGE FUNK","?",""
"73SpzrcaHk0RQPFP73vqVR","No Time To Die","Billie Eilish","No Time To Die","?",""
"2Tf3o75XkU0IS06tYgEuvn","Lust","Marino, Alexandria","Lust","?",""
"40x5K8xyIWVmSeUrYjj0os","Lost on You","LP","Lost On You","?",""
"4aipGGtIEU1onLXdQiNFZY","Rizzstag Anthem","Chadolf Rizzler","Rizzstag Anthem","?",""
"4QhEYFii0CS4PBrdoLw9bB","Ghosts Of Reach","Michael Salvatori, Martin O'Donnell","Halo 2 Volume 1: Original Soundtrack","?",""
"5t6DaA23SVfpQnp9gLTA65","Jeopardy","Paul Lipson, Lennie Moore, Tom Salta, Brian Trifon, Brian Lee White","Halo 2 Anniversary Original Soundtrack","?",""
"24sBQCAn1FjY8Uyp60EstH","VEM SORRIR - Super Slowed","Vlxdimir","VEM SORRIR","?",""
"4gfbOWyAylCzXoUVh0VDea","Honorable Intentions","Martin O'Donnell, Michael Salvatori","Halo 3: Original Soundtrack","?",""
"4mWahKerLaVddUjb8d1Q4Q","The Man Who Sold the World - 2015 Remaster","David Bowie","The Man Who Sold the World (2015 Remaster)","?",""
"6I6Zjwlx4LSE1iojm94za1","The Man Who Sold the World - 2010 Remaster","Midge Ure","The Gift (Deluxe Version)","?",""
"0iTI5FTB9iEUtcMdx9YyZS","Stronger","TheFatRat, Slaydit, Anjulie","Stronger","?",""
"0j2T0R9dR9qdJYsB7ciXhf","Stronger","Kanye West","Graduation","?",""
"6T689Jvh5KrSXyaPtUWZtQ","Criminal","Britney Spears","Femme Fatale (Deluxe Version)","?",""
"1isfSipZWMJVSp0Zaj7Vua","4/17/1975","Rob Viktum","Progress 2","?",""
"0M8dceadOe6MecFst7pFpZ","Yes I Will","Andrew Applepie","Two Suns","?",""
"2r2vr5ujMEZN9hJzwwc6Jk","Montagem Supersonic","KHAOS, Jmilton, Mc Jajá","Montagem Supersonic","?",""
"4Hff1IjRbLGeLgFgxvHflk","DARE (feat. Shaun Ryder & Roses Gabor)","Gorillaz, Shaun Ryder, Roses Gabor","Demon Days","?",""
"0pjCsB0XNSyqM9UazlTODC","Jazz Suite No. 2: VI. Waltz 2","Dmitri Shostakovich, Russian State Symphony Orchestra, Dmitry Yablonsky","Shostakovich: Jazz Suites Nos. 1 - 2 / The Bolt / Tahiti Trot","?",""
"03iFEOix4gu82m5nX8ldzf","Libertango - Arr. for Orchestra","Nike Hutchisson, Pavel Lyubomudrov, Metamorphose String Orchestra","Piazzolla: Oblivion, Libertango (Arr. for Orchestra)","?",""
"73yXCwINoNqUBJRAgPJPsY","Fly-day Chinatown","Yasuha","TRANSIT","?",""
"7BInSwH3Ha2YMEEezQLz95","F L Y","Spectrum","Optical Sunrise/Spectrum2","?",""
"0CXAzE5aMXBvT5A1Tor2h8","Inside the Ride","Taxman","Inside the Ride","?",""
"1DetmiT385neQeo5M5PeSH","Defying Gravity","The Velvet Tones","Defying Gravity","?",""
"6xRWoYwfwIKnT8bQGzKbxR","God Is","Kanye West","JESUS IS KING","?",""
"5qEb86BCCco3iZl9A9i32Y","MONTAGEM PIXELS - Slowed","DJ MH, Mc M4","MONTAGEM PIXELS","?",""
"7mhsDo1g4jIVxVaHSqChQ5","I LOVE YOU SO JUMPSTYLE - Slowed","HUSSVRX","I LOVE YOU SO JUMPSTYLE","?",""
"37adYGaYaAWTGhBaOzX4Fh","Take A Slice","Glass Animals","How To Be A Human Being","?",""
"4QNpBfC0zvjKqPJcyqBy9W","Give Me Everything (feat. Nayer)","Pitbull, AFROJACK, Ne-Yo, Nayer","Planet Pit (Deluxe Version)","?",""
"7nn9pcjw1Vip4zvvuXJbCN","打歌妹 - RemixDJ版","娱人","打歌妹 (RemixDJ版)","?",""
"6JjPBQfI2Y8nIjnm65X6Pw","X (feat. Maluma & Ozuna) - Remix","Nicky Jam, J Balvin, Maluma, Ozuna","X (feat. Maluma & Ozuna) [Remix]","?",""
"0WSa1sucoNRcEeULlZVQXj","Can You Feel My Heart","Bring Me The Horizon","Sempiternal (Expanded Edition)","?",""
